samples	penicillin
6925_1_49	0
6925_1_50	0
6925_1_51	0
6925_1_52	0
6925_1_53	0
6925_1_54	0
6925_1_55	1
6925_1_56	1
6925_1_57	0
6925_1_58	1
6925_1_59	0
6925_1_60	0
6925_1_61	0
6925_1_62	1
6925_1_63	1
6925_1_64	0
6925_1_65	1
6925_1_66	0
6925_1_67	0
6925_1_68	0
6925_1_69	0
6925_1_70	0
6925_1_71	0
6925_2_73	0
6925_2_74	0
6925_2_75	0
6925_2_76	0
6925_2_77	1
6925_2_78	0
6925_2_79	0
6925_2_80	0
6925_2_81	0
6925_2_82	0
6925_2_83	1
6925_2_84	1
6925_2_85	1
6925_2_86	1
6925_2_87	0
6925_2_88	1
6925_2_89	0
6925_2_90	0
6925_2_91	0
6925_2_92	0
6925_2_93	0
6925_2_94	0
6925_2_95	1
6930_8_10	1
6930_8_11	0
6930_8_12	0
6930_8_13	0
6930_8_14	0
6930_8_15	0
6930_8_16	0
6930_8_17	0
6930_8_18	0
6930_8_19	1
6930_8_20	1
6930_8_21	1
6930_8_22	0
6930_8_23	0
6930_8_5	0
6930_8_6	0
6930_8_7	1
6930_8_8	0
6930_8_9	0
6952_4_10	0
6952_4_11	1
6952_4_12	0
6952_4_13	0
6952_4_14	1
6952_4_15	0
6952_4_16	0
6952_4_17	0
6952_4_18	0
6952_4_19	0
6952_4_1	1
6952_4_20	0
6952_4_21	1
6952_4_22	0
6952_4_23	0
6952_4_3	1
6952_4_4	0
6952_4_5	1
6952_4_6	0
6952_4_7	0
6952_4_8	0
6952_7_10	1
6952_7_11	1
6952_7_13	0
6952_7_14	0
6952_7_15	0
6952_7_16	0
6952_7_17	0
6952_7_18	0
6952_7_19	1
6952_7_1	0
6952_7_20	1
6952_7_21	0
6952_7_22	0
6952_7_23	1
6952_7_2	0
6952_7_3	1
6952_7_4	1
6952_7_5	0
6952_7_6	0
6952_7_7	1
6952_7_8	0
6952_7_9	0
6999_1_10	0
6999_1_11	0
6999_1_12	0
6999_1_13	0
6999_1_14	1
6999_1_15	0
6999_1_16	1
6999_1_17	1
6999_1_18	1
6999_1_19	0
6999_1_1	0
6999_1_20	0
6999_1_21	1
6999_1_22	0
6999_1_23	0
6999_1_2	1
6999_1_3	0
6999_1_4	0
6999_1_5	0
6999_1_6	0
6999_1_7	0
6999_1_8	0
6999_1_9	0
6999_2_10	0
6999_2_11	0
6999_2_12	1
6999_2_13	0
6999_2_14	1
6999_2_15	1
6999_2_16	1
6999_2_17	0
6999_2_18	0
6999_2_19	1
6999_2_1	1
6999_2_20	1
6999_2_21	1
6999_2_22	0
6999_2_23	1
6999_2_2	0
6999_2_3	1
6999_2_4	1
6999_2_5	1
6999_2_6	0
6999_2_7	0
6999_2_8	0
6999_2_9	1
6999_3_10	0
6999_3_11	0
6999_3_12	0
6999_3_13	1
6999_3_14	1
6999_3_15	0
6999_3_16	1
6999_3_18	0
6999_3_19	1
6999_3_1	0
6999_3_20	0
6999_3_21	1
6999_3_22	0
6999_3_23	0
6999_3_2	0
6999_3_3	0
6999_3_4	0
6999_3_5	1
6999_3_6	1
6999_3_7	1
6999_3_9	0
6999_4_10	0
6999_4_11	1
6999_4_12	1
6999_4_13	0
6999_4_14	0
6999_4_15	0
6999_4_16	0
6999_4_17	0
6999_4_18	0
6999_4_19	0
6999_4_20	1
6999_4_21	0
6999_4_22	0
6999_4_23	0
6999_4_2	1
6999_4_4	0
6999_4_6	0
6999_4_7	0
6999_4_8	0
6999_4_9	0
6999_5_10	1
6999_5_11	1
6999_5_12	0
6999_5_13	1
6999_5_14	1
6999_5_15	0
6999_5_16	0
6999_5_17	1
6999_5_18	0
6999_5_19	1
6999_5_1	0
6999_5_20	1
6999_5_21	0
